atlas,datafile,frequency,deduced_telluric_spectrum,observed_photospheric_spectrum,corrected_photospheric_spectrum
visatl,sp13550,13547,0.9969,0.9970,1.0001
visatl,sp13550,13547.02,0.9957,0.9950,0.9992
visatl,sp13550,13547.04,0.9958,0.9905,0.9947
visatl,sp13550,13547.06,0.9964,0.9923,0.9959
visatl,sp13550,13547.08,0.9973,0.9980,1.0007
visatl,sp13550,13547.1,0.9995,0.9964,0.9970
visatl,sp13550,13547.12,1.0017,0.9926,0.9909
visatl,sp13550,13547.14,1.0016,0.9959,0.9943
visatl,sp13550,13547.16,0.9998,0.9994,0.9996
visatl,sp13550,13547.18,0.9989,0.9988,0.9999
visatl,sp13550,13547.2,0.9995,0.9987,0.9991
visatl,sp13550,13547.22,1.0001,0.9982,0.9981
visatl,sp13550,13547.24,1.0001,0.9983,0.9981
visatl,sp13550,13547.26,0.9999,0.9993,0.9994
visatl,sp13550,13547.28,0.9992,0.9970,0.9978
visatl,sp13550,13547.3,0.9989,0.9977,0.9988
visatl,sp13550,13547.32,1.0000,1.0021,1.0021
visatl,sp13550,13547.34,1.0014,0.9989,0.9975
visatl,sp13550,13547.36,1.0009,0.9956,0.9946
visatl,sp13550,13547.38,0.9987,0.9983,0.9997
visatl,sp13550,13547.4,0.9962,0.9978,1.0016
visatl,sp13550,13547.42,0.9935,0.9959,1.0024
visatl,sp13550,13547.44,0.9898,0.9921,1.0023
visatl,sp13550,13547.46,0.9877,0.9869,0.9992
visatl,sp13550,13547.48,0.9895,0.9909,1.0014
visatl,sp13550,13547.5,0.9937,0.9943,1.0006
visatl,sp13550,13547.52,0.9967,0.9924,0.9957
visatl,sp13550,13547.54,0.9980,0.9962,0.9983
visatl,sp13550,13547.56,0.9992,0.9991,1.0000
visatl,sp13550,13547.58,1.0006,0.9984,0.9979
visatl,sp13550,13547.6,1.0009,0.9981,0.9972
visatl,sp13550,13547.62,1.0006,0.9964,0.9958
visatl,sp13550,13547.64,1.0005,0.9977,0.9972
visatl,sp13550,13547.66,1.0003,0.9986,0.9983
visatl,sp13550,13547.68,1.0001,0.9969,0.9968
visatl,sp13550,13547.7,1.0006,0.9977,0.9971
visatl,sp13550,13547.72,1.0019,0.9955,0.9936
visatl,sp13550,13547.74,1.0024,0.9943,0.9919
visatl,sp13550,13547.76,1.0014,0.9997,0.9983
visatl,sp13550,13547.78,1.0006,1.0012,1.0006
visatl,sp13550,13547.8,1.0013,0.9997,0.9984
visatl,sp13550,13547.82,1.0021,1.0003,0.9982
visatl,sp13550,13547.84,1.0013,0.9980,0.9967
visatl,sp13550,13547.86,0.9994,0.9947,0.9953
visatl,sp13550,13547.88,0.9986,0.9953,0.9968
visatl,sp13550,13547.9,0.9991,0.9969,0.9978
visatl,sp13550,13547.92,0.9998,0.9969,0.9972
visatl,sp13550,13547.94,0.9993,0.9981,0.9988
visatl,sp13550,13547.96,0.9981,0.9976,0.9996
visatl,sp13550,13547.98,0.9967,0.9951,0.9984
visatl,sp13550,13548,0.9957,0.9966,1.0009
visatl,sp13550,13548.02,0.9953,0.9952,0.9999
visatl,sp13550,13548.04,0.9959,0.9918,0.9959
visatl,sp13550,13548.06,0.9968,0.9949,0.9980
visatl,sp13550,13548.08,0.9976,0.9955,0.9980
visatl,sp13550,13548.1,0.9976,0.9931,0.9954
visatl,sp13550,13548.12,0.9973,0.9933,0.9960
visatl,sp13550,13548.14,0.9968,0.9940,0.9972
visatl,sp13550,13548.16,0.9967,0.9962,0.9995
visatl,sp13550,13548.18,0.9975,0.9972,0.9998
visatl,sp13550,13548.2,0.9985,0.9972,0.9987
visatl,sp13550,13548.22,0.9990,0.9978,0.9988
visatl,sp13550,13548.24,0.9987,0.9968,0.9981
visatl,sp13550,13548.26,0.9986,0.9966,0.9980
visatl,sp13550,13548.28,0.9993,0.9961,0.9968
visatl,sp13550,13548.3,1.0000,0.9976,0.9976
visatl,sp13550,13548.32,1.0002,1.0007,1.0005
visatl,sp13550,13548.34,0.9998,0.9984,0.9986
visatl,sp13550,13548.36,0.9994,0.9987,0.9992
visatl,sp13550,13548.38,0.9995,1.0007,1.0012
visatl,sp13550,13548.4,1.0002,1.0000,0.9997
visatl,sp13550,13548.42,1.0011,1.0026,1.0015
visatl,sp13550,13548.44,1.0014,0.9984,0.9971
visatl,sp13550,13548.46,1.0006,0.9938,0.9932
visatl,sp13550,13548.48,0.9995,1.0000,1.0005
visatl,sp13550,13548.5,0.9988,0.9978,0.9990
visatl,sp13550,13548.52,0.9987,0.9917,0.9930
visatl,sp13550,13548.54,0.9991,0.9963,0.9972
visatl,sp13550,13548.56,0.9996,0.9965,0.9969
visatl,sp13550,13548.58,0.9994,0.9933,0.9939
visatl,sp13550,13548.6,0.9988,0.9956,0.9968
visatl,sp13550,13548.62,0.9982,0.9922,0.9939
visatl,sp13550,13548.64,0.9981,0.9869,0.9888
visatl,sp13550,13548.66,0.9982,0.9868,0.9886
visatl,sp13550,13548.68,0.9984,0.9847,0.9863
visatl,sp13550,13548.7,0.9989,0.9863,0.9874
visatl,sp13550,13548.72,1.0000,0.9913,0.9914
visatl,sp13550,13548.74,1.0010,0.9899,0.9889
visatl,sp13550,13548.76,1.0012,0.9898,0.9886
visatl,sp13550,13548.78,1.0004,0.9933,0.9929
visatl,sp13550,13548.8,0.9990,0.9951,0.9961
visatl,sp13550,13548.82,0.9982,0.9971,0.9990
visatl,sp13550,13548.84,0.9983,0.9974,0.9991
visatl,sp13550,13548.86,0.9991,0.9975,0.9984
visatl,sp13550,13548.88,0.9997,0.9967,0.9970
visatl,sp13550,13548.9,0.9997,0.9941,0.9944
visatl,sp13550,13548.92,0.9992,0.9962,0.9970
visatl,sp13550,13548.94,0.9988,0.9975,0.9986
visatl,sp13550,13548.96,0.9988,0.9955,0.9967
visatl,sp13550,13548.98,0.9987,0.9954,0.9967
visatl,sp13550,13549,0.9983,0.9936,0.9954
visatl,sp13550,13549.02,0.9976,0.9923,0.9947
visatl,sp13550,13549.04,0.9970,0.9936,0.9966
visatl,sp13550,13549.06,0.9967,0.9931,0.9965
visatl,sp13550,13549.08,0.9963,0.9916,0.9953
visatl,sp13550,13549.1,0.9954,0.9893,0.9939
visatl,sp13550,13549.12,0.9940,0.9912,0.9972
visatl,sp13550,13549.14,0.9928,0.9958,1.0029
visatl,sp13550,13549.16,0.9923,0.9915,0.9992
visatl,sp13550,13549.18,0.9921,0.9867,0.9946
visatl,sp13550,13549.2,0.9914,0.9878,0.9964
visatl,sp13550,13549.22,0.9894,0.9850,0.9955
visatl,sp13550,13549.24,0.9859,0.9813,0.9953
visatl,sp13550,13549.26,0.9810,0.9788,0.9979
visatl,sp13550,13549.28,0.9748,0.9732,0.9983
visatl,sp13550,13549.3,0.9677,0.9653,0.9975
visatl,sp13550,13549.32,0.9604,0.9556,0.9950
visatl,sp13550,13549.34,0.9539,0.9476,0.9934
visatl,sp13550,13549.36,0.9484,0.9427,0.9940
visatl,sp13550,13549.38,0.9412,0.9353,0.9937
visatl,sp13550,13549.4,0.9281,0.9220,0.9935
visatl,sp13550,13549.42,0.9048,0.8997,0.9944
visatl,sp13550,13549.44,0.8716,0.8694,0.9975
visatl,sp13550,13549.46,0.8381,0.8415,1.0040
visatl,sp13550,13549.48,0.8239,0.8308,1.0084
visatl,sp13550,13549.5,0.8407,0.8451,1.0053
visatl,sp13550,13549.52,0.8757,0.8736,0.9976
visatl,sp13550,13549.54,0.9100,0.9040,0.9935
visatl,sp13550,13549.56,0.9355,0.9305,0.9947
visatl,sp13550,13549.58,0.9528,0.9484,0.9954
visatl,sp13550,13549.6,0.9645,0.9606,0.9959
visatl,sp13550,13549.62,0.9727,0.9707,0.9980
visatl,sp13550,13549.64,0.9784,0.9783,0.9998
visatl,sp13550,13549.66,0.9825,0.9809,0.9984
visatl,sp13550,13549.68,0.9860,0.9809,0.9948
visatl,sp13550,13549.7,0.9895,0.9835,0.9940
visatl,sp13550,13549.72,0.9926,0.9861,0.9935
visatl,sp13550,13549.74,0.9941,0.9886,0.9945
visatl,sp13550,13549.76,0.9937,0.9915,0.9978
visatl,sp13550,13549.78,0.9925,0.9899,0.9974
visatl,sp13550,13549.8,0.9921,0.9879,0.9958
visatl,sp13550,13549.82,0.9932,0.9884,0.9951
visatl,sp13550,13549.84,0.9950,0.9912,0.9962
visatl,sp13550,13549.86,0.9961,0.9940,0.9979
visatl,sp13550,13549.88,0.9962,0.9924,0.9962
visatl,sp13550,13549.9,0.9958,0.9926,0.9969
visatl,sp13550,13549.92,0.9953,0.9942,0.9989
visatl,sp13550,13549.94,0.9949,0.9932,0.9983
visatl,sp13550,13549.96,0.9941,0.9926,0.9984
visatl,sp13550,13549.98,0.9932,0.9904,0.9972
visatl,sp13550,13550,0.9926,0.9913,0.9987
visatl,sp13550,13550.02,0.9926,0.9933,1.0007
visatl,sp13550,13550.04,0.9924,0.9904,0.9980
visatl,sp13550,13550.06,0.9910,0.9903,0.9994
visatl,sp13550,13550.08,0.9882,0.9884,1.0002
visatl,sp13550,13550.1,0.9850,0.9833,0.9983
visatl,sp13550,13550.12,0.9825,0.9805,0.9979
visatl,sp13550,13550.14,0.9805,0.9762,0.9956
